# Event 'cpu-clock'
#
# Baseline           Ratio  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Shared Object              
# ........  ..............  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ...........................
#
     0.63%        2.312500  [.] Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<ceres::Jet<double, 6>, 3, 1, 0, 3, 1> >, Eigen::internal::evaluator<Eigen::Product<Eigen::CwiseUnaryOp<Eigen::internal::core_cast_op<double, ceres::Jet<double, 6> >, Eigen::Matrix<double, 3, 3, 0, 3, 3> const>, Eigen::Map<Eigen::Matrix<ceres::Jet<double, 6>, 3, 1, 0, 3, 1>, 0, Eigen::Stride<0, 0> >, 1> >, Eigen::internal::assign_op<ceres::Jet<double, 6>, ceres::Jet<double, 6> >, 0>::assignCoeff(long) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              pose_graph_2d              
     0.04%        2.222222  [.] ceres::internal::Program::NumParameters() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pose_graph_2d              
     0.04%        2.090909  [.] ceres::AutoDiffManifold<ceres::examples::AngleManifold, 1, 1>::TangentSize() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pose_graph_2d              
     0.01%        2.000000  [.] operator delete(void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     libstdc++.so.6.0.30        
     0.01%        2.000000  [.] __bswapdi2@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             pose_graph_2d              
     0.01%        2.000000  [k] mas_walk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms]          
     0.01%        2.000000  [.] std::_Rb_tree_increment(std::_Rb_tree_node_base const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    libstdc++.so.6.0.30        
     0.01%        2.000000  [.] std::locale::facet::_S_get_c_locale()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      libstdc++.so.6.0.30        
     0.00%        2.000000  [.] ceres::internal::(anonymous namespace)::CreateBlockJacobian(ceres::internal::TripletSparseMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   pose_graph_2d              
     0.00%        2.000000  [.] ceres::internal::ProgramEvaluator<ceres::internal::BlockEvaluatePreparer, ceres::internal::BlockJacobianWriter, ceres::internal::NullJacobianFinalizer>::Evaluate(ceres::internal::Evaluator::EvaluateOptions const&, double const*, double*, double*, double*, ceres::internal::SparseMatrix*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pose_graph_2d              
     0.00%        2.000000  [k] free_unref_page_list                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms]          
     0.00%        2.000000  [.] pthread_once                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               libc.so.6                  
     0.00%        2.000000  [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       libstdc++.so.6.0.30        
     0.00%        2.000000  [k] task_mm_cid_work                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms]          
     0.00%        2.000000  [k] update_blocked_averages                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms]          
     0.02%        1.833333  [.] std::ostream::flush()@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  libstdc++.so.6.0.30        
     0.16%        1.725000  [.] Eigen::Matrix<ceres::Jet<double, 6>, 2, 2, 0, 2, 2> ceres::examples::RotationMatrix2D<ceres::Jet<double, 6> >(ceres::Jet<double, 6>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     1.09%        1.653430  [.] ceres::internal::BlockSparseMatrix::ScaleColumns(double const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pose_graph_2d              
     0.02%        1.600000  [.] std::string::reserve(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        libstdc++.so.6.0.30        
     1.01%        1.572549  [.] ceres::internal::BlockSparseMatrix::SquaredColumnNorm(double*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     0.10%        1.520000  [.] main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     0.25%        1.500000  [.] ceres::internal::InvalidateEvaluation(ceres::internal::ResidualBlock const&, double*, double*, double**)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   pose_graph_2d              
     0.02%        1.500000  [.] std::string::_Rep::_M_clone(std::allocator<char> const&, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    libstdc++.so.6.0.30        
     0.01%        1.500000  [.] __clzdi2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   libgcc_s-12.so.1           
